School Name,School Type,Address,City,Zipcode,County,Ex_Rel,Ex_Med,Ex_Tot
Andover Elementary School,Public,35 School Rd,Andover,6232,Tolland,3.0,1.0,4.1
Ansonia High School,Public,20 Pulaski Highway,Ansonia,6401,New Haven,0.0,0.0,0.0
Emmett O'Brien Technical High School,Public,141 Prindle Avenue,Ansonia,6401,New Haven,1.4,0.0,1.4
Ashford School,Public,440 Westford Rd.,Ashford,6278,Windham,2.2,0.8,3.0
Avon High School,Public,510 West Avon Rd,Avon,6001,Hartford,1.2,1.2,2.4
Avon Middle School,Public,375 West Avon Road,Avon,6001,Hartford,1.7,0.0,1.7
Avon Old Farms School,Non-public,500 Old Farms Road,Avon,6001,Hartford,0.5,0.3,0.8
Pine Grove School,Public,151 Scoville Road,Avon,6001,Hartford,1.2,0.2,1.4
Reggio Magnet School Of The Arts,Public,59 Waterville Rd,Avon,6001,Hartford,2.8,0.2,3.0
Roaring Brook School,Public,30 Old Wheeler Lane,Avon,6001,Hartford,1.7,0.4,2.0
Talcott Mountain Academy,Non-public,324 Montevideo Road,Avon,6001,Hartford,0.0,0.0,0.0
Thompson Brook School,Public,150 Thompson Rd,Avon,6001,Hartford,4.2,0.0,4.2
Webb In The Valley School,Non-public,135 Darling Dr,Avon,6001,Hartford,,,
Academy Of The Holy Family,Non-public,54 West Main Street,Baltic,6330,New London,0.0,0.0,0.0
Sayles School,Public,25 Scotland Rd.,Baltic,6330,New London,1.1,0.0,1.1
St. Joseph School,Non-public,10 School Hill Road,Baltic,6330,New London,11.3,2.8,14.1
Barkhamsted School,Public,65 Ripley Hill Road,Barkhamsted,6063,Litchfield,5.7,0.5,6.1
Laurel Ledge Elementary School,Public,30Highland Ave,Beacon Falls,6403,New Haven,0.3,1.7,2.0
Woodland Regional High School,Public,135 Back Rimmon Road,Beacon Falls,6403,New Haven,6.7,4.9,11.7
Catherine Mcgee Middle School,Public,899 Norton Road,Berlin,6037,Hartford,3.8,0.0,3.8
Emma Hart Willard Elementary School,Public,1088 Norton Road,Berlin,6037,Hartford,2.3,2.3,4.6
Berlin High School,Public,139 Patterson Way,Berlin,6037,Hartford,1.7,0.1,1.8
Bethany Community School,Public,44 Peck Road,Bethany,6524,New Haven,3.0,0.0,3.0
Amity Middle School Bethany,Public,190 Luke Hill Road,Bethany,6524,New Haven,1.6,0.0,1.6
Anna H. Rockwell,Public,400 Whittlesey Dr,Bethel,6801,Fairfield,2.4,0.0,2.4
Bethel High School,Public,300 Whittlesey Dr,Bethel,6801,Fairfield,2.7,0.3,2.9
Bethel Middle School,Public,600 Whittlesey Dr,Bethel,6801,Fairfield,1.7,0.5,2.2
Frank A Berry Elementary,Public,200 Whittlesey Drive,Bethel,6801,Fairfield,1.0,0.0,1.0
R.M.T. Johnson School,Public,500 Whittlesey Drive,Bethel,6801,Fairfield,4.3,0.0,4.3
St Mary School,Non-public,24 Dodgingtown Road,Bethel,6801,Fairfield,1.6,0.5,2.1
Bethlehem Elementary School,Public,92 East Street,Bethlehem,6751,Litchfield,4.3,0.0,4.3
Woodhall School,Non-public,58 Harrison Lane,Bethlehem,6751,Litchfield,0.0,2.4,2.4
Academy Of International Studies (6-12),Public,1551 Blue Hills Ave,Bloomfield,6002,Hartford,1.4,1.4,2.8
Bloomfield High School,Public,5 Huckleberry Ln,Bloomfield,6002,Hartford,1.3,0.0,1.3
Global Experience Magnet,Public,44 Griffin Road South,Bloomfield,6002,Hartford,1.6,0.0,1.6
Laurel Elementary School,Public,1 Filley Street,Bloomfield,6002,Hartford,0.0,0.3,0.3
Metacomet Elementary School,Public,185 School Street,Bloomfield,6002,Hartford,1.4,0.5,1.8
Wintonbury Early Childhood Magnet School,Public,44 Brown Street,Bloomfield,6002,Hartford,0.3,0.0,0.3
Carmen Arace,Public,390 Park Ave,Bloomfield,6002,Hartford,0.7,0.2,0.9
Crec River Street Autism Program At Birken,Public,1289 Blue Hills Ave.,Bloomfield,6002,Hartford,9.4,0.0,9.4
Greater Hartford Academy Of The Arts Middle School,Public,129 Griffin Road North,Bloomfield,6002,Hartford,2.4,0.0,2.4
Bolton Center School,Public,108 Notch Road,Bolton,6043,Hartford,1.4,0.2,1.6
Bolton High School,Public,72 Brandy St.,Bolton,6043,Tolland,1.3,1.3,2.6
Fields Memorial School,Public,8 Bozrah St. Ext,Bozrah,6334,New London,5.4,0.0,5.4
Branford High School,Public,185 E Main Street,Branford,6405,New Haven,0.9,1.8,2.7
East Shoreline Catholic Academy,Non-public,62 Cedar St,Branford,6405,New Haven,0.9,0.5,1.4
Indian Neck School,Public,12 Melrose Ave,Branford,6405,New Haven,0.0,0.0,0.0
John B. Sliney Elementary,Public,23 Eades Street,Branford,6405,New Haven,0.7,0.4,1.1
Mary T Murphy School,Public,14 Brushy Plain Rd,Branford,6405,New Haven,1.4,1.1,2.4
Walsh Intermediate School,Public,185 Damascus Rd.,Branford,6405,New Haven,1.0,0.0,1.0
Mary R. Tisko School,Public,118 Damascus Rd.,Branford,6405,New Haven,0.9,0.0,0.9
Achievement First Middle School,Public,529 Noble Ave,Bridgeport,6608,Fairfield,0.0,0.0,0.0
Beardsley,Public,500 Huntington Rd,Bridgeport,6610,Fairfield,0.0,0.0,0.0
Bridgeport International Academy,Non-public,285 Lafayette Street,Bridgeport,6604,Fairfield,3.3,1.6,4.9
Bridgeport Learning Center,Public,280 Tesiny Ave,Bridgeport,6606,Fairfield,3.9,0.0,3.9
Bridgeport Military Academy,Public,160 Iranistan Avenue,Bridgeport,6604,Fairfield,0.0,1.0,1.0
Bryant Elementary,Public,230 Poplar Street,Bridgeport,6605,Fairfield,0.0,0.0,0.0
Capital Preparatory Harbor Lower School,Public,461 Mill Hill Avenue,Bridgeport,6610,Fairfield,0.5,0.0,0.5
Central High School,Public,1 Lincoln Blvd,Bridgeport,6606,Fairfield,0.4,0.1,0.5
Cesar Batalla,Public,606 Howard Avenue,Bridgeport,6607,Fairfield,0.1,0.0,0.1
Classical Studies Academy Annex,Public,659 Beachwood Ave,Bridgeport,6605,Fairfield,1.4,0.0,1.4
Classical Studies Magnet Academy,Public,240 Linwood Ave,Bridgeport,6604,Fairfield,0.4,0.0,0.4
Columbus School,Public,275 George Street,Bridgeport,6604,Fairfield,0.0,0.0,0.0
Edison School,Public,115 Boston Terrace,Bridgeport,6610,Fairfield,1.1,1.1,2.2
Fairchild Wheeler Interdistrict Magnet Campus,Public,840 Old Town Road,Bridgeport,6606,Fairfield,1.0,0.1,1.1
Geraldine Johnson School,Public,475 Lexington Avenue,Bridgeport,6604,Fairfield,0.4,0.1,0.5
Great Oaks Charter,Public,375 Howard Avenue,Bridgeport,6605,Fairfield,0.1,1.0,1.2
Hallen School,Public,68 Omega Avenue,Bridgeport,6606,Fairfield,1.2,0.4,1.5
High Horizon Magnet School,Public,700 Palisade Ave,Bridgeport,6610,Fairfield,0.0,0.0,0.0
